date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:03:46	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4a585be14d7abac0;gz%22	https://garantaofertasoline.com/robots.txt		(from )
20:03:47	80841/80841	---M-Z	200	added ('OK')	text/html	etag:%2213bc9-669b41f3-41f2cdd099d7dcde;gz%22	https://garantaofertasoline.com/	C:/Users/brenn/Documents/totkktok/tiktok/garantaofertasoline.com/index.html	(from )
20:03:48	117332/117332	---M-Z	200	added ('OK')	text/css	etag:%221ca54-65b3ecc9-e0d8f0eb2080936c;gz%22	https://projeto-net.online/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.18.3	C:/Users/brenn/Documents/totkktok/tiktok/projeto-net.online/wp-content/plugins/elementor/assets/css/frontend-lite.minf3b2.css	(from https://garantaofertasoline.com/)
20:03:49	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-65b3ecc9-b3e9f681e763cac6;gz%22	https://projeto-net.online/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/brenn/Documents/totkktok/tiktok/projeto-net.online/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://garantaofertasoline.com/)
20:03:49	1168/1168	---M-Z	200	added ('OK')	text/css	etag:%22490-65e1119e-608326b36d6ff1f4;gz%22	https://projeto-net.online/wp-content/uploads/elementor/css/post-6.css?ver=1709248926	C:/Users/brenn/Documents/totkktok/tiktok/projeto-net.online/wp-content/uploads/elementor/css/post-67a89.css	(from https://garantaofertasoline.com/)
20:03:49	11339/11339	---M-Z	200	added ('OK')	text/css	etag:%222c4b-656619b1-10c0610208723680;gz%22	https://projeto-net.online/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.17.0	C:/Users/brenn/Documents/totkktok/tiktok/projeto-net.online/wp-content/plugins/elementor-pro/assets/css/frontend-lite.mine7ad.css	(from https://garantaofertasoline.com/)
20:03:50	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-65b3ecc9-c47a11771d68ce74;gz%22	https://projeto-net.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.18.3	C:/Users/brenn/Documents/totkktok/tiktok/projeto-net.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.minf3b2.css	(from https://garantaofertasoline.com/)
20:03:50	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-65b3ecc9-eb724d01dc654de6;gz%22	https://projeto-net.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.18.3	C:/Users/brenn/Documents/totkktok/tiktok/projeto-net.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.minf3b2.css	(from https://garantaofertasoline.com/)
20:03:50	75080/75080	---M-Z	200	added ('OK')	text/css	etag:%2212548-65e1119f-ab39847d1f750bf3;gz%22	https://projeto-net.online/wp-content/uploads/elementor/css/global.css?ver=1709248927	C:/Users/brenn/Documents/totkktok/tiktok/projeto-net.online/wp-content/uploads/elementor/css/global9190.css	(from https://garantaofertasoline.com/)
20:03:50	11396/11396	---M-Z	200	added ('OK')	text/css	etag:%222c84-66916e53-623ecba83d00105d;gz%22	https://projeto-net.online/wp-content/uploads/elementor/css/post-4805.css?ver=1720806995	C:/Users/brenn/Documents/totkktok/tiktok/projeto-net.online/wp-content/uploads/elementor/css/post-4805350d.css	(from https://garantaofertasoline.com/)
20:03:51	3443/3443	---M-Z	200	added ('OK')	text/css	etag:%22d73-65661a31-a7f282af9eec8cbf;gz%22	https://projeto-net.online/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.9	C:/Users/brenn/Documents/totkktok/tiktok/projeto-net.online/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min271b.css	(from https://garantaofertasoline.com/)
20:03:51	25443/25443	---M-Z	200	added ('OK')	text/css	etag:%226363-65661a40-10811de31ad6b400;gz%22	https://projeto-net.online/wp-content/plugins/happy-elementor-addons/assets/fonts/style.min.css?ver=3.9.1.1	C:/Users/brenn/Documents/totkktok/tiktok/projeto-net.online/wp-content/plugins/happy-elementor-addons/assets/fonts/style.min40a1.css	(from https://garantaofertasoline.com/)
20:03:51	30999/30999	---M-Z	200	added ('OK')	text/css	etag:%227917-65b3ecc9-231a40a2c2d5066f;gz%22	https://projeto-net.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Users/brenn/Documents/totkktok/tiktok/projeto-net.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://garantaofertasoline.com/)
